Rank,Product,Team,Year,Product_Category,Sales_Engineer,BKS_Sales,KWG_Sales,TNG_Sales,BGR_Sales,Total_Sales
53,Gran Turismo,TMSales13,1997.0,Switches/Sensors,Ferdi,4.02,3.87,2.54,0.52,10.95
54,Super Mario 3D Land,TMSales10,2011.0,Electric Actuators,Bayu,4.89,2.99,2.13,0.78,10.79
55,Gran Turismo 5,TMSales6,2010.0,Switches/Sensors,Ferdi,2.96,4.88,0.81,2.12,10.77
56,Call of Duty: Modern Warfare 2,TMSales6,2009.0,Rotary Actuators,Febby,4.99,3.69,0.38,1.63,10.69
57,Grand Theft Auto IV,TMSales6,2008.0,Directional Control Valves,Faisal,4.76,3.76,0.44,1.62,10.57
58,Super Mario All-Stars,TMSales8,1993.0,Electric Actuators,Bayu,5.99,2.15,2.12,0.29,10.55
59,Pokemon FireRed/Pokemon LeafGreen,TMSales9,2004.0,Fittings/Tubing,Bayu,4.34,2.65,3.15,0.35,10.49
60,Super Mario 64,TMSales4,2004.0,Electric Actuators,Bayu,5.08,3.11,1.25,0.98,10.42
61,Just Dance 3,TMSales1,2011.0,Vacuum Equipment,Andrias,6.05,3.15,0.0,1.07,10.26
62,Call of Duty: Ghosts,TMSales5,2013.0,Rotary Actuators,Febby,6.72,2.63,0.04,0.82,10.21
63,Halo: Reach,TMSales5,2010.0,Rotary Actuators,Agus,7.03,1.98,0.08,0.78,9.88
64,Mario Kart 64,TMSales12,1996.0,Switches/Sensors,Bayu,5.55,1.94,2.23,0.15,9.87
65,New Super Mario Bros. 2,TMSales10,2012.0,Electric Actuators,Bayu,3.66,3.07,2.47,0.63,9.82
66,Halo 4,TMSales5,2012.0,Rotary Actuators,Agus,6.63,2.36,0.04,0.73,9.76
67,Final Fantasy VII,TMSales13,1997.0,Fittings/Tubing,Ferdi,3.01,2.47,3.28,0.96,9.72
68,Call of Duty: Ghosts,TMSales6,2013.0,Rotary Actuators,Febby,4.09,3.73,0.38,1.38,9.59
69,Just Dance 2,TMSales1,2010.0,Vacuum Equipment,Andrias,5.84,2.89,0.01,0.78,9.52
70,Gran Turismo 2,TMSales13,1999.0,Switches/Sensors,Ferdi,3.88,3.42,1.69,0.5,9.49
71,Call of Duty 4: Modern Warfare,TMSales5,2007.0,Rotary Actuators,Febby,5.91,2.38,0.13,0.9,9.32
72,Donkey Kong Country,TMSales8,1994.0,Electric Actuators,Bayu,4.36,1.71,3.0,0.23,9.3
73,Minecraft,TMSales5,2013.0,Vacuum Equipment,Agus,5.58,2.83,0.02,0.77,9.2
74,Animal Crossing: New Leaf,TMSales10,2012.0,Flow Control,Bayu,2.01,2.32,4.36,0.41,9.09
75,Mario Party DS,TMSales4,2007.0,Vacuum Equipment,Bayu,4.46,1.88,1.98,0.7,9.02
76,The Elder Scrolls V: Skyrim,TMSales5,2011.0,Fittings/Tubing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84
77,Super Mario Kart,TMSales8,1992.0,Switches/Sensors,Bayu,3.54,1.24,3.81,0.18,8.76
78,FIFA 16,TMSales11,2015.0,Air Cylinders,Amir,1.11,6.06,0.06,1.26,8.49
79,Wii Party,TMSales1,2010.0,Vacuum Equipment,Bayu,1.79,3.53,2.49,0.68,8.49
80,Halo 2,TMSales14,2004.0,Rotary Actuators,Agus,6.82,1.53,0.05,0.08,8.49
81,Mario Party 8,TMSales1,2007.0,Vacuum Equipment,Bayu,3.81,2.3,1.58,0.73,8.42
82,Pokemon Black 2/Pokemon White 2,TMSales4,2012.0,Fittings/Tubing,Bayu,2.91,1.86,3.14,0.43,8.33
83,FIFA Soccer 13,TMSales6,2012.0,Directional Control Valves,Amir,1.06,5.05,0.13,2.01,8.24
84,The Sims 3,TMSales15,2009.0,Flow Control,Amir,0.98,6.42,0.0,0.71,8.11
85,GoldenEye 007,TMSales12,1997.0,Rotary Actuators,Bayu,5.8,2.01,0.13,0.15,8.09
86,Mario & Sonic at the Olympic Games,TMSales1,2007.0,Air Cylinders,Amin,2.58,3.9,0.66,0.91,8.06
87,Final Fantasy X,TMSales7,2001.0,Fittings/Tubing,Ferdi,2.91,2.07,2.73,0.33,8.05
88,Final Fantasy VIII,TMSales13,1999.0,Fittings/Tubing,SquareSoft,2.28,1.72,3.63,0.23,7.86
89,Pokémon Platinum Version,TMSales4,2008.0,Fittings/Tubing,Bayu,2.82,1.78,2.69,0.55,7.84
90,Pac-Man,TMSales16,1982.0,Air Preparation,Kriston,7.28,0.45,0.0,0.08,7.81
91,Grand Theft Auto: Liberty City Stories,TMSales17,2005.0,Directional Control Valves,Faisal,2.9,2.83,0.24,1.75,7.72
92,Super Mario Galaxy 2,TMSales1,2010.0,Electric Actuators,Bayu,3.66,2.42,0.98,0.64,7.69
93,Star Wars Battlefront (2015),TMSales11,2015.0,Rotary Actuators,Amir,2.93,3.29,0.22,1.23,7.67
94,Call of Duty: Advanced Warfare,TMSales11,2014.0,Rotary Actuators,Febby,2.8,3.3,0.14,1.37,7.6
95,The Legend of Zelda: Ocarina of Time,TMSales12,1998.0,Directional Control Valves,Bayu,4.1,1.89,1.45,0.16,7.6
96,Crash Bandicoot 2: Cortex Strikes Back,TMSales13,1997.0,Electric Actuators,Ferdi,3.78,2.17,1.31,0.31,7.58
97,Super Mario Bros. 2,TMSales2,1988.0,Electric Actuators,Bayu,5.39,1.18,0.7,0.19,7.46
98,Super Smash Bros. for Wii U and 3DS,TMSales10,2014.0,FRL,Bayu,3.24,1.35,2.42,0.43,7.45
99,Call of Duty: World at War,TMSales5,2008.0,Rotary Actuators,Febby,4.79,1.9,0.0,0.69,7.37
100,Battlefield 3,TMSales5,2011.0,Rotary Actuators,Amir,4.46,2.13,0.06,0.69,7.34
101,The Legend of Zelda: Twilight Princess,TMSales1,2006.0,Directional Control Valves,Bayu,3.83,2.19,0.6,0.7,7.31
102,Call of Duty: Black Ops 3,TMSales18,2015.0,Rotary Actuators,Febby,4.52,2.09,0.01,0.67,7.3
103,Just Dance,TMSales1,2009.0,Vacuum Equipment,Andrias,3.51,3.03,0.0,0.73,7.27
104,Battlefield 3,TMSales6,2011.0,Rotary Actuators,Amir,2.85,2.93,0.35,1.1,7.23
105,Need for Speed Underground,TMSales7,2003.0,Switches/Sensors,Amir,3.27,2.83,0.08,1.02,7.2
106,Tekken 3,TMSales13,1998.0,FRL,Ferdi,3.27,2.22,1.4,0.29,7.16
107,Crash Bandicoot 3: Warped,TMSales13,1998.0,Electric Actuators,Ferdi,3.68,1.75,1.42,0.28,7.13
108,Super Smash Bros. Melee,TMSales19,2001.0,FRL,Bayu,4.41,1.04,1.39,0.22,7.07
109,Mario Kart 8,TMSales20,2014.0,Switches/Sensors,Bayu,3.13,2.07,1.27,0.49,6.96
110,Fallout 4,TMSales11,2015.0,Fittings/Tubing,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96
111,Mario Kart: Double Dash!!,TMSales19,2003.0,Switches/Sensors,Bayu,4.12,1.77,0.87,0.19,6.95
112,Just Dance 4,TMSales1,2012.0,Vacuum Equipment,Andrias,4.14,2.21,0.0,0.56,6.91
113,FIFA 14,TMSales6,2013.0,Air Cylinders,Amir,0.78,4.32,0.07,1.73,6.9
114,Need for Speed Underground 2,TMSales7,2004.0,Switches/Sensors,Amir,2.71,3.02,0.08,1.09,6.9
115,Medal of Honor: Frontline,TMSales7,2002.0,Rotary Actuators,Amir,2.93,2.75,0.17,0.99,6.83
116,Uncharted 3: Drake's Deception,TMSales6,2011.0,Directional Control Valves,Ferdi,2.77,2.8,0.19,1.06,6.83
117,Crash Bandicoot,TMSales13,1996.0,Electric Actuators,Ferdi,3.23,2.35,0.94,0.3,6.82
118,Zumba Fitness,TMSales1,2010.0,Air Cylinders,505 Games,3.5,2.64,0.0,0.67,6.81
119,Gears of War 2,TMSales5,2008.0,Rotary Actuators,Agus,4.15,1.92,0.06,0.64,6.76
120,Uncharted 2: Among Thieves,TMSales6,2009.0,Directional Control Valves,Ferdi,3.27,2.25,0.21,1.0,6.73
121,Call of Duty 4: Modern Warfare,TMSales6,2007.0,Rotary Actuators,Febby,3.1,2.3,0.28,1.04,6.72
122,FIFA 12,TMSales6,2011.0,Air Cylinders,Amir,0.84,4.32,0.11,1.42,6.69
123,Big Brain Academy,TMSales4,2005.0,Vacuum Equipment,Bayu,1.67,2.78,1.6,0.62,6.67
124,Red Dead Redemption,TMSales6,2010.0,Directional Control Valves,Faisal,2.79,2.61,0.17,1.03,6.6
125,FIFA 15,TMSales11,2014.0,Air Cylinders,Amir,0.79,4.29,0.05,1.47,6.59
126,Donkey Kong Country Returns,TMSales1,2010.0,Electric Actuators,Bayu,3.25,1.84,1.03,0.47,6.59
127,The Elder Scrolls V: Skyrim,TMSales6,2011.0,Fittings/Tubing,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56
128,The Legend of Zelda,TMSales2,1986.0,Directional Control Valves,Bayu,3.74,0.93,1.69,0.14,6.51
129,Assassin's Creed III,TMSales6,2012.0,Directional Control Valves,Andrias,2.64,2.56,0.16,1.14,6.5
130,Halo: Combat Evolved,TMSales14,2001.0,Rotary Actuators,Agus,4.98,1.3,0.08,0.07,6.43
131,Pokémon Emerald Version,TMSales9,2004.0,Fittings/Tubing,Bayu,2.57,1.58,2.06,0.21,6.41
132,Kingdom Hearts,TMSales7,2002.0,Fittings/Tubing,Ferdi,3.64,1.2,1.49,0.07,6.4
133,Pokémon Crystal Version,TMSales3,2000.0,Fittings/Tubing,Bayu,2.55,1.56,1.29,0.99,6.39
134,Halo 3: ODST,TMSales5,2009.0,Rotary Actuators,Agus,4.34,1.35,0.06,0.61,6.36
135,Red Dead Redemption,TMSales5,2010.0,Directional Control Valves,Faisal,3.7,1.97,0.09,0.57,6.34
136,Super Mario Sunshine,TMSales19,2002.0,Electric Actuators,Bayu,4.01,1.26,0.87,0.17,6.31
137,Street Fighter II: The World Warrior,TMSales8,1992.0,FRL,Capcom,2.47,0.83,2.87,0.12,6.3
138,World of Warcraft,TMSales15,2004.0,Fittings/Tubing,Febby,0.07,6.21,0.0,0.0,6.28
139,Driver,TMSales13,1999.0,Directional Control Valves,GT Interactive,3.11,2.8,0.02,0.33,6.27
140,Kinect Sports,TMSales5,2010.0,Air Cylinders,Agus,3.92,1.78,0.03,0.51,6.24
141,Gears of War 3,TMSales5,2011.0,Rotary Actuators,Agus,4.05,1.62,0.07,0.49,6.24
142,Gears of War,TMSales5,2006.0,Rotary Actuators,Agus,3.54,1.9,0.07,0.6,6.11
143,Metal Gear Solid 2: Sons of Liberty,TMSales7,2001.0,Directional Control Valves,Rizal,2.45,2.01,0.87,0.72,6.05
144,Sonic the Hedgehog 2,TMSales21,1992.0,Electric Actuators,Amin,4.47,1.2,0.16,0.19,6.03
145,Metal Gear Solid 4: Guns of the Patriots,TMSales6,2008.0,Directional Control Valves,Rizal,2.63,1.74,0.83,0.83,6.03
146,Metal Gear Solid,TMSales13,1998.0,Directional Control Valves,Rizal,3.18,1.83,0.78,0.24,6.03
147,The Last of Us,TMSales6,2013.0,Directional Control Valves,Sony Computer Entertainment Europe,2.41,2.28,0.28,1.01,5.99
148,Final Fantasy XII,TMSales7,2006.0,Fittings/Tubing,Square Enix,1.88,0.0,2.33,1.74,5.95
149,LittleBigPlanet,TMSales6,2008.0,Electric Actuators,Ferdi,2.8,2.05,0.17,0.9,5.92
150,Dragon Quest IX: Sentinels of the Starry Skies,TMSales4,2009.0,Fittings/Tubing,Bayu,0.66,0.69,4.35,0.15,5.84
151,LEGO Star Wars: The Complete Saga,TMSales1,2007.0,Directional Control Valves,LucasArts,3.66,1.63,0.0,0.53,5.83
152,Resident Evil 2,TMSales13,1998.0,Directional Control Valves,Virgin Interactive,1.88,1.47,2.02,0.45,5.82
153,Tekken 2,TMSales13,1996.0,FRL,Ferdi,2.26,1.89,1.36,0.23,5.74
154,Cooking Mama,TMSales4,2006.0,Flow Control,505 Games,3.13,1.94,0.07,0.58,5.72
155,Destiny,TMSales11,2014.0,Rotary Actuators,Febby,2.49,2.05,0.16,0.96,5.65
156,Tetris,TMSales2,1988.0,Air Preparation,Bayu,2.97,0.69,1.81,0.11,5.58
157,Assassin's Creed II,TMSales6,2009.0,Directional Control Valves,Andrias,2.54,1.95,0.21,0.87,5.57
158,Super Smash Bros.,TMSales12,1999.0,FRL,Bayu,2.95,0.6,1.97,0.04,5.55
159,Assassin's Creed,TMSales5,2007.0,Lubrication,Andrias,3.28,1.65,0.07,0.55,5.55
160,Batman: Arkham City,TMSales6,2011.0,Directional Control Valves,Warner Bros. Interactive Entertainment,2.7,1.91,0.11,0.8,5.53
161,Forza Motorsport 3,TMSales5,2009.0,Switches/Sensors,Agus,2.99,1.92,0.1,0.51,5.51
162,Monster Hunter Freedom Unite,TMSales17,2008.0,Fittings/Tubing,Capcom,0.47,0.57,4.13,0.34,5.5
163,Super Mario Advance,TMSales9,2001.0,Electric Actuators,Bayu,3.14,1.24,0.91,0.2,5.49
164,Mario Kart: Super Circuit,TMSales9,2001.0,Switches/Sensors,Bayu,2.62,1.64,0.99,0.23,5.47
165,Super Mario World,TMSales9,2001.0,Electric Actuators,Bayu,3.21,1.11,0.95,0.2,5.46
166,Pokemon Stadium,TMSales12,1999.0,Accessories,Bayu,3.18,1.24,0.94,0.09,5.45
167,Call of Duty: World at War,TMSales6,2008.0,Rotary Actuators,Febby,2.72,1.87,0.0,0.84,5.43
168,Crash Bandicoot: The Wrath of Cortex,TMSales7,2001.0,Electric Actuators,Universal Interactive,2.07,2.29,0.24,0.82,5.42
169,Minecraft,TMSales6,2014.0,Vacuum Equipment,Ferdi,1.97,2.51,0.0,0.94,5.42
170,Final Fantasy XIII,TMSales6,2009.0,Fittings/Tubing,Square Enix,1.74,1.24,1.87,0.52,5.36
171,Dr. Mario,TMSales3,1989.0,Air Preparation,Bayu,2.18,0.96,2.0,0.2,5.34
172,Pokemon Pinball,TMSales3,1999.0,Vacuum Equipment,Bayu,3.02,1.12,1.01,0.16,5.31
173,Assassin's Creed III,TMSales5,2012.0,Directional Control Valves,Andrias,3.13,1.71,0.03,0.44,5.3
174,Final Fantasy IX,TMSales13,2000.0,Fittings/Tubing,SquareSoft,1.62,0.77,2.78,0.14,5.3
175,Final Fantasy X-2,TMSales7,2003.0,Fittings/Tubing,Amir,1.92,1.08,2.11,0.17,5.29
176,Donkey Kong 64,TMSales12,1999.0,Electric Actuators,Bayu,3.33,0.79,1.09,0.06,5.27
177,Assassin's Creed II,TMSales5,2009.0,Directional Control Valves,Andrias,3.1,1.56,0.08,0.51,5.27
178,Professor Layton and the Curious Village,TMSales4,2007.0,Air Preparation,Bayu,1.22,2.48,1.03,0.52,5.26
179,Tomb Raider II,TMSales13,1997.0,Directional Control Valves,Eidos Interactive,2.3,2.46,0.2,0.28,5.24
180,Madden NFL 2004,TMSales7,,Air Cylinders,Amir,4.26,0.26,0.01,0.71,5.23
181,Dragon Quest VIII: Journey of the Cursed King,TMSales7,2004.0,Fittings/Tubing,Square Enix,0.65,0.75,3.61,0.2,5.21
182,Diablo III,TMSales15,2012.0,Fittings/Tubing,Febby,2.43,2.15,0.0,0.62,5.2
183,Super Mario Bros. 3,TMSales9,2003.0,Electric Actuators,Bayu,2.93,1.25,0.83,0.2,5.2
184,New Super Mario Bros. U,TMSales20,2012.0,Electric Actuators,Bayu,2.32,1.3,1.27,0.31,5.19
185,Super Mario Land 3: Wario Land,TMSales3,1994.0,Electric Actuators,Bayu,2.49,0.98,1.57,0.15,5.19
186,FIFA Soccer 13,TMSales5,2012.0,Directional Control Valves,Amir,1.08,3.48,0.03,0.58,5.18
187,The Legend of Zelda: Phantom Hourglass,TMSales4,2007.0,Directional Control Valves,Bayu,1.9,1.83,0.95,0.49,5.17
188,Donkey Kong Country 2: Diddy's Kong Quest,TMSales8,1995.0,Electric Actuators,Bayu,2.1,0.74,2.2,0.11,5.15
189,Tomodachi Life,TMSales10,2013.0,Flow Control,Bayu,0.96,2.02,1.89,0.28,5.15
190,Mario & Sonic at the Olympic Games,TMSales4,2008.0,Air Cylinders,Amin,1.64,2.48,0.44,0.58,5.14
191,Medal of Honor: Rising Sun,TMSales7,2003.0,Rotary Actuators,Amir,1.98,2.23,0.13,0.8,5.13
192,Kirby's Dream Land,TMSales3,1992.0,Electric Actuators,Bayu,2.71,0.61,1.7,0.11,5.13
193,Fable III,TMSales5,2010.0,Fittings/Tubing,Agus,3.59,1.11,0.05,0.38,5.13
194,Call of Duty: Advanced Warfare,TMSales18,2014.0,Rotary Actuators,Febby,3.21,1.53,0.01,0.38,5.13
195,Microsoft Flight Simulator,TMSales15,1996.0,Flow Control,Agus,3.22,1.69,0.0,0.2,5.12
196,Guitar Hero II,TMSales7,2006.0,Vacuum Equipment,RedOctane,3.81,0.63,0.0,0.68,5.12
197,Resident Evil 5,TMSales6,2009.0,Directional Control Valves,Capcom,1.96,1.43,1.08,0.65,5.11
198,Grand Theft Auto V,TMSales18,2014.0,Directional Control Valves,Faisal,2.66,2.01,0.0,0.41,5.08
199,Grand Theft Auto: Vice City Stories,TMSales17,2006.0,Directional Control Valves,Faisal,1.7,2.02,0.16,1.21,5.08
200,FIFA Soccer 11,TMSales6,2010.0,Air Cylinders,Amir,0.6,3.29,0.06,1.13,5.08
201,Super Mario Bros.,TMSales3,1999.0,Electric Actuators,Bayu,3.4,1.3,0.15,0.22,5.07
202,Resident Evil,TMSales13,1996.0,Directional Control Valves,Virgin Interactive,2.05,1.16,1.11,0.73,5.05
203,Tony Hawk's Pro Skater,TMSales13,1999.0,Air Cylinders,Febby,3.42,1.38,0.02,0.2,5.02
204,Super Smash Bros. for Wii U and 3DS,TMSales20,2014.0,FRL,Bayu,2.59,1.06,0.8,0.57,5.02
205,Warzone 2100,TMSales13,1999.0,Accessories,Eidos Interactive,2.79,1.89,0.0,0.33,5.01
206,Spyro the Dragon,TMSales13,1998.0,Electric Actuators,Ferdi,3.36,1.36,0.07,0.21,5.0
207,Link's Crossbow Training,TMSales1,2007.0,Rotary Actuators,Bayu,3.06,1.18,0.29,0.46,5.0
208,Guitar Hero III: Legends of Rock,TMSales7,2007.0,Vacuum Equipment,Febby,3.49,0.01,0.01,1.48,4.98
209,Fallout 3,TMSales5,2008.0,Fittings/Tubing,Bethesda Softworks,3.39,1.03,0.09,0.44,4.96
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,TMSales4,2007.0,Fittings/Tubing,Bayu,1.85,1.2,1.54,0.37,4.96
211,Uncharted: Drake's Fortune,TMSales6,2007.0,Directional Control Valves,Ferdi,2.31,1.73,0.12,0.78,4.94
212,Madden NFL 06,TMSales7,2005.0,Air Cylinders,Amir,3.98,0.26,0.01,0.66,4.91
213,LEGO Star Wars: The Complete Saga,TMSales4,2007.0,Directional Control Valves,LucasArts,2.89,1.54,0.0,0.46,4.9
214,Diddy Kong Racing,TMSales12,1997.0,Switches/Sensors,Bayu,2.91,0.99,0.89,0.1,4.88
215,Monster Hunter Freedom 3,TMSales17,2010.0,Fittings/Tubing,Capcom,0.0,0.0,4.87,0.0,4.87
216,Dr. Mario,TMSales2,1990.0,Air Preparation,Bayu,2.62,0.6,1.52,0.1,4.85
217,God of War III,TMSales6,2010.0,Directional Control Valves,Ferdi,2.74,1.36,0.12,0.63,4.84
218,StarCraft II: Wings of Liberty,TMSales15,2010.0,Accessories,Febby,2.56,1.68,0.0,0.59,4.83
219,Assassin's Creed,TMSales6,2007.0,Lubrication,Andrias,1.91,2.0,0.09,0.83,4.83
220,FIFA 15,TMSales6,2014.0,Air Cylinders,Amir,0.57,3.14,0.04,1.07,4.82
221,Crash Team Racing,TMSales13,1999.0,Switches/Sensors,Ferdi,2.57,1.57,0.44,0.21,4.79
222,FIFA 17,TMSales11,2016.0,Air Cylinders,Amir,0.28,3.75,0.06,0.69,4.77
223,Batman: Arkham City,TMSales5,2011.0,Directional Control Valves,Warner Bros. Interactive Entertainment,2.99,1.31,0.04,0.41,4.76
224,Driver 2,TMSales13,2000.0,Directional Control Valves,Kriston,2.36,2.1,0.02,0.25,4.73
225,The Simpsons: Hit & Run,TMSales7,2003.0,Switches/Sensors,Vivendi Games,1.73,2.19,0.0,0.79,4.7
226,Tony Hawk's Pro Skater 2,TMSales13,2000.0,Air Cylinders,Febby,3.05,1.41,0.02,0.2,4.68
227,Animal Crossing: City Folk,TMSales1,2008.0,Flow Control,Bayu,1.87,1.12,1.32,0.37,4.68
228,The Lord of the Rings: The Two Towers,TMSales7,2002.0,Directional Control Valves,Amir,1.94,1.95,0.08,0.7,4.67
229,Forza Motorsport 4,TMSales5,2011.0,Switches/Sensors,Agus,2.08,2.04,0.06,0.47,4.64
230,Tomb Raider,TMSales13,1996.0,Directional Control Valves,Eidos Interactive,2.29,1.97,0.13,0.24,4.63
231,Guitar Hero III: Legends of Rock,TMSales1,2007.0,Vacuum Equipment,Febby,3.06,1.12,0.0,0.44,4.62
232,The Legend of Zelda: A Link to the Past,TMSales8,1991.0,Directional Control Valves,Bayu,2.42,0.91,1.15,0.13,4.61
233,The Legend of Zelda: The Wind Waker,TMSales19,2002.0,Directional Control Valves,Bayu,2.6,0.99,0.89,0.13,4.6
234,Mario & Sonic at the Olympic Winter Games,TMSales1,2009.0,Air Cylinders,Amin,1.89,1.99,0.22,0.48,4.58
235,Luigi's Mansion: Dark Moon,TMSales10,2013.0,Directional Control Valves,Bayu,1.78,1.39,1.1,0.3,4.58
